group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
sweeping_param,,4,,,92308285.0,ns,28
sweeping_param,,4,,,174674074.0,ns,56
sweeping_param,,4,,,255858961.0,ns,84
sweeping_param,,4,,,348322228.0,ns,112
sweeping_param,,4,,,424711403.0,ns,140
sweeping_param,,4,,,515331101.0,ns,168
sweeping_param,,4,,,605317966.0,ns,196
sweeping_param,,4,,,692272017.0,ns,224
sweeping_param,,4,,,828864436.0,ns,252
sweeping_param,,4,,,858854868.0,ns,280
