,train,eval
0,63470.656,64084.863
1,59491.57,60900.11
2,58852.56,60173.824
3,58675.215,59953.465
4,57467.773,59210.49
5,56924.95,58852.79
6,57677.37,59271.035
7,57204.79,59123.535
8,56727.96,58476.79
9,57181.51,59151.22
10,56191.54,58165.836
11,55888.695,58046.344
12,55286.965,56968.777
13,56312.566,58234.46
14,56375.273,57781.777
15,54345.008,56103.914
16,54332.098,56433.195
17,54141.69,56451.133
18,54372.09,56240.918
19,53940.543,55581.145
20,54325.12,56421.508
21,53943.777,56317.434
22,53185.797,55178.105
23,54102.664,56044.88
24,53210.684,54944.523
25,55319.496,56801.91
26,53588.094,55612.15
27,52734.445,54785.277
28,52753.844,55000.59
29,54084.43,55612.383
30,52667.188,54833.824
31,53965.414,56394.426
32,53706.156,55825.062
33,52229.227,54486.38
34,53170.86,55223.13
35,52248.605,54445.688
36,52688.113,55282.758
37,51681.02,54038.13
38,52017.137,54414.06
39,51743.965,54085.227
40,52914.457,55268.258
41,52454.707,54613.133
42,52357.02,54096.688
43,51733.918,53881.797
44,51264.74,54006.043
45,52273.56,54461.426
46,52376.934,54274.555
47,51340.777,53666.87
48,51606.188,53699.836
49,50950.03,53310.977
50,52312.16,54476.43
51,51714.504,54133.094
52,51422.88,53567.027
53,51724.75,53910.383
54,52220.79,54662.344
55,51415.617,53856.324
56,51866.273,54302.777
57,50741.402,52538.184
58,51391.742,53361.863
59,51560.46,53562.867
60,53625.72,54947.258
61,51177.574,53423.074
62,50665.42,52844.23
63,50953.35,52977.27
64,50686.277,52859.844
65,51404.418,53795.285
66,50713.934,53197.727
67,50249.51,52834.332
68,52014.227,54214.062
69,51312.88,53597.508
70,50798.426,53303.594
71,52171.59,54360.43
72,52778.816,55232.24
73,52453.504,54641.344
74,51271.3,53630.535
75,50527.047,52548.934
76,50810.17,53267.62
77,51155.34,53857.03
78,50603.797,53093.99
79,50895.266,53513.137
80,50504.29,53304.88
81,50037.688,52577.39
82,51848.46,54409.844
83,50440.363,52807.152
84,50802.33,53261.207
85,50180.97,52830.08
86,51839.836,54412.832
87,50781.438,53238.133
88,50609.934,53096.438
89,50581.434,53383.082
90,50084.035,52434.055
91,50404.613,52696.14
92,50195.164,52941.76
93,49844.75,52260.383
94,50311.97,53130.605
95,50884.11,53655.45
96,50341.285,53298.54
97,49933.113,52628.637
98,50819.004,53558.84
99,49940.203,52461.56
