,train,eval
0,69539.96,68659.91
1,65512.555,65117.086
2,63666.51,63383.703
3,63202.37,62999.562
4,62534.027,62793.082
5,61685.223,62075.35
6,61191.62,61843.08
7,60930.438,61404.08
8,60859.637,61468.08
9,60758.74,61381.773
10,60692.535,61451.89
11,60458.13,61064.72
12,60695.645,61498.33
13,60255.918,60842.137
14,60343.918,61001.54
15,60245.97,60914.555
16,60271.5,60800.277
17,60027.61,60622.23
18,60054.64,60804.902
19,60027.85,61148.48
20,59682.54,60744.414
21,59556.477,60627.29
22,59417.027,60490.395
23,59436.195,60567.637
24,59163.645,60257.55
25,59071.758,60190.613
26,59201.562,60390.434
27,59026.426,60334.215
28,58856.215,60147.73
29,58863.453,60113.895
30,58686.348,60085.832
31,59230.45,60344.703
32,58769.984,60125.426
33,59132.258,60371.957
34,58688.21,60369.0
35,58585.89,59949.97
36,58582.926,60273.758
37,58590.086,60226.97
38,58340.934,59931.246
39,58457.684,60206.816
40,58188.055,59709.402
41,58243.3,59925.848
42,58091.043,59661.477
43,58214.766,59767.434
44,57966.223,59648.42
45,58231.72,59947.164
46,57852.945,59616.977
47,58011.906,59828.336
48,57823.14,59586.81
49,58010.492,59948.55
50,57687.25,59537.273
51,57906.586,59795.613
52,57748.605,59560.445
53,58077.52,60125.34
54,57881.95,59853.594
55,57692.96,59649.082
56,57614.586,59684.676
57,57626.26,59523.457
58,57497.11,59373.996
59,57529.004,59437.79
60,57924.99,59911.81
61,57878.19,59699.777
62,57773.79,59667.55
63,57670.574,59440.723
64,57432.676,59384.12
65,57551.984,59375.99
66,57592.633,59453.723
67,57440.05,59529.82
68,57527.277,59311.727
69,57416.48,59457.51
70,57295.39,59195.527
71,57175.402,59044.297
72,57764.17,59685.85
73,57173.53,58990.902
74,57317.48,59031.97
75,57342.152,59052.867
76,57112.664,59011.836
77,57725.703,59706.645
78,57459.586,59141.027
79,57281.105,59078.01
80,57230.094,59040.105
81,57158.613,58742.02
82,57242.36,58848.176
83,57434.97,58890.594
84,57022.72,58698.066
85,57915.56,59661.836
86,57198.97,58977.242
87,57319.95,59047.594
88,56957.977,58507.38
89,57078.887,58749.195
90,56957.316,58760.113
91,57397.13,59313.293
92,57053.582,58835.375
93,57164.484,58752.586
94,56888.8,58581.35
95,57007.57,58550.35
96,57144.023,58838.875
97,56806.29,58457.047
98,56883.87,58394.125
99,56891.04,58385.527
