,train,eval
0,109293.695,108291.12
1,67260.0,66861.96
2,64147.535,63885.12
3,62825.125,62898.965
4,62076.26,62266.727
5,61231.367,61631.58
6,60406.58,60857.316
7,60011.14,60797.777
8,59881.816,60734.324
9,59675.55,60738.28
10,59493.566,60487.09
11,59170.047,60016.32
12,59391.035,60561.9
13,59246.715,60216.402
14,59276.67,60565.47
15,58873.832,59821.926
16,58969.055,60059.906
17,58221.0,59455.25
18,58308.77,59539.89
19,58244.977,59330.98
20,58687.31,59837.31
21,58231.027,59661.36
22,57865.25,59366.723
23,57722.715,59143.477
24,58764.35,60401.168
25,57801.758,59348.367
26,58450.957,59792.527
27,57832.547,59177.5
28,58362.137,59850.344
29,57757.668,59064.996
30,57345.344,58778.89
31,57835.176,59000.152
32,57509.34,58884.69
33,56902.59,58207.363
34,57344.99,58684.062
35,58634.87,60070.855
36,58033.22,59687.707
37,56845.91,58221.633
38,57171.26,58663.44
39,57693.61,59280.746
40,57133.074,58700.92
41,56545.188,57940.934
42,56464.37,57714.56
43,57207.914,58550.676
44,56356.895,57710.9
45,56169.13,57529.266
46,56792.957,58285.953
47,56703.727,58184.984
48,56733.42,58035.58
49,56022.223,57463.035
50,56721.18,58130.215
51,55949.71,57139.508
52,56016.668,57365.07
53,56263.07,57415.402
54,56381.598,57645.547
55,56836.957,58046.777
56,56219.77,57700.86
57,55979.938,57122.4
58,56179.574,57658.805
59,57034.508,58012.31
60,56337.55,57683.105
61,55811.04,57237.08
62,55680.938,57093.188
63,55747.344,57010.86
64,55741.938,57111.957
65,55596.098,56930.445
66,56105.758,57393.64
67,55552.684,56582.73
68,56203.81,57472.98
69,55621.492,56644.59
70,55274.676,56486.684
71,55495.684,56620.992
72,55525.574,56728.445
73,55300.785,56504.383
74,55833.727,57264.934
75,55420.207,56573.188
76,55275.53,56608.074
77,55399.594,56732.434
78,55309.87,56714.914
79,55215.785,56702.168
80,55265.992,56745.25
81,54959.184,56428.94
82,55936.605,57183.645
83,55325.44,56353.332
84,55105.94,56482.24
85,55075.594,56487.598
86,55130.72,56372.14
87,55006.785,56436.34
88,55763.117,57301.586
89,55389.367,56592.617
90,55900.27,57037.312
91,55123.445,56324.816
92,55204.44,56480.188
93,54909.176,56130.19
94,54861.426,56269.547
95,54906.562,56258.586
96,55057.223,56595.027
97,54988.242,56419.277
98,54986.61,56202.816
99,54887.664,56137.168
