,train,eval
0,110658.7,109527.14
1,101735.54,100801.36
2,84672.625,84172.234
3,73150.984,72847.21
4,70739.484,70477.914
5,69451.32,69253.72
6,68425.02,68290.7
7,67561.96,67490.85
8,66823.59,66761.44
9,66211.195,66198.49
10,65691.78,65688.79
11,65215.14,65265.836
12,64799.953,64887.45
13,64430.65,64517.45
14,64089.19,64238.25
15,63787.06,63958.785
16,63529.445,63774.008
17,63238.89,63467.883
18,63017.754,63299.426
19,62722.84,63094.258
20,62492.81,62898.6
21,62294.094,62678.824
22,62121.867,62639.098
23,61866.723,62364.805
24,61664.08,62227.566
25,61478.87,62052.81
26,61296.777,61942.074
27,61134.047,61846.258
28,61001.72,61638.582
29,60781.25,61531.24
30,60635.26,61351.863
31,60485.465,61310.965
32,60320.996,61158.64
33,60177.17,61047.355
34,60039.926,60958.082
35,59914.73,60819.523
36,59780.242,60773.77
37,59649.14,60665.414
38,59523.145,60554.85
39,59401.75,60427.695
40,59324.758,60332.445
41,59181.008,60277.117
42,59076.3,60106.44
43,58954.617,60021.945
44,58876.566,60045.18
45,58752.13,59877.09
46,58673.016,59816.637
47,58565.37,59707.52
48,58489.73,59730.777
49,58368.53,59584.316
50,58324.457,59629.41
51,58220.11,59454.074
52,58129.11,59381.914
53,58045.152,59350.664
54,57984.36,59283.742
55,57907.867,59278.45
56,57825.234,59168.58
57,57779.113,59122.027
58,57745.535,59177.95
59,57666.484,59014.49
60,57598.883,58977.688
61,57570.71,59058.664
62,57447.35,58890.918
63,57384.883,58844.95
64,57336.21,58815.56
65,57347.523,58905.406
66,57228.363,58723.02
67,57263.734,58855.496
68,57146.906,58676.258
69,57090.52,58665.445
70,57076.727,58614.133
71,56992.492,58574.15
72,56950.15,58462.543
73,56918.85,58498.312
74,56884.25,58521.543
75,56809.71,58431.184
76,56742.574,58361.473
77,56703.754,58416.824
78,56722.94,58484.07
79,56635.754,58313.125
80,56537.434,58199.684
81,56576.24,58179.145
82,56671.08,58471.723
83,56463.367,58228.805
84,56417.777,58200.11
85,56340.973,58049.86
86,56281.55,58050.52
87,56251.28,57962.8
88,56202.65,57923.207
89,56162.33,57915.227
90,56146.297,57895.7
91,56072.258,57865.312
92,56030.0,57817.81
93,55992.113,57797.97
94,55949.32,57770.11
95,56016.508,57808.52
96,55908.383,57770.875
97,55827.67,57672.582
98,55796.73,57643.348
99,55790.258,57675.152
