,train,eval
0,112260.29,111143.625
1,107619.945,106647.46
2,99971.516,99308.06
3,90448.984,90083.086
4,82792.16,82607.47
5,77366.83,77322.56
6,73550.695,73602.54
7,71235.01,71213.95
8,69901.016,69780.016
9,69017.05,68841.555
10,68374.414,68175.35
11,67872.18,67709.484
12,67467.164,67280.35
13,67112.29,66958.266
14,66806.375,66655.53
15,66518.125,66355.836
16,66268.61,66116.414
17,66037.46,65944.65
18,65831.36,65755.01
19,65641.55,65568.38
20,65467.516,65373.332
21,65310.246,65265.34
22,65157.77,65092.168
23,65012.96,64974.836
24,64883.113,64837.7
25,64749.613,64725.914
26,64627.17,64598.945
27,64504.492,64508.37
28,64401.02,64370.215
29,64269.613,64322.336
30,64156.21,64187.547
31,64042.03,64118.824
32,63928.617,64018.93
33,63821.6,63930.84
34,63713.805,63833.465
35,63614.91,63734.023
36,63522.9,63647.35
37,63402.9,63548.047
38,63296.34,63449.824
39,63204.348,63408.098
40,63099.363,63264.54
41,62994.69,63170.348
42,62905.188,63118.383
43,62807.254,63005.395
44,62730.332,62912.82
45,62624.207,62823.535
46,62534.96,62744.43
47,62467.637,62668.492
48,62366.83,62601.246
49,62272.9,62512.617
50,62190.418,62460.152
51,62104.41,62362.695
52,62017.94,62308.07
53,61945.816,62255.113
54,61851.297,62163.844
55,61769.117,62046.543
56,61677.688,61998.312
57,61616.72,61979.12
58,61532.61,61855.383
59,61432.758,61803.277
60,61350.918,61751.234
61,61267.758,61658.348
62,61206.33,61581.844
63,61114.242,61538.58
64,61037.902,61477.246
65,60960.496,61444.996
66,60887.887,61359.008
67,60814.07,61322.062
68,60746.72,61282.73
69,60668.414,61214.45
70,60606.88,61191.48
71,60536.715,61092.586
72,60474.094,61095.363
73,60408.42,61028.2
74,60333.195,60932.414
75,60282.207,60878.695
76,60215.297,60844.605
77,60157.59,60771.777
78,60089.96,60713.43
79,60047.047,60703.594
80,60000.617,60637.367
81,59932.242,60590.77
82,59891.805,60542.652
83,59853.46,60473.836
84,59777.88,60420.59
85,59727.047,60386.168
86,59704.61,60386.76
87,59645.87,60347.293
88,59592.867,60279.88
89,59543.914,60248.05
90,59518.484,60242.19
91,59466.32,60181.418
92,59416.902,60133.223
93,59374.75,60095.08
94,59334.62,60079.676
95,59297.91,60053.703
96,59255.535,60015.75
97,59221.785,59985.277
98,59179.24,59963.273
99,59152.9,59962.883
