,train,eval
0,106235.9,105373.86
1,93678.484,93160.484
2,79848.96,79632.01
3,73386.82,73165.2
4,71510.96,71195.68
5,70483.9,70180.62
6,69632.7,69349.94
7,68917.98,68681.9
8,68298.836,68090.234
9,67753.4,67568.62
10,67289.15,67104.83
11,66854.6,66719.64
12,66483.164,66378.66
13,66140.49,66113.11
14,65820.44,65783.09
15,65540.75,65532.406
16,65230.414,65280.246
17,64971.58,65071.473
18,64714.426,64795.656
19,64432.527,64606.754
20,64191.89,64423.4
21,63955.22,64189.16
22,63746.816,63980.74
23,63518.496,63850.21
24,63318.71,63647.43
25,63132.26,63507.89
26,62950.785,63345.45
27,62777.793,63192.652
28,62617.016,63045.207
29,62461.812,62929.242
30,62303.02,62794.98
31,62161.57,62662.203
32,62023.56,62580.703
33,61888.844,62421.164
34,61767.797,62355.383
35,61642.848,62214.926
36,61514.13,62111.363
37,61391.06,62015.19
38,61277.66,61949.883
39,61165.23,61846.527
40,61058.43,61765.105
41,60962.355,61623.164
42,60842.258,61584.477
43,60750.9,61480.24
44,60641.52,61420.82
45,60548.066,61329.64
46,60458.28,61271.273
47,60393.367,61241.44
48,60283.45,61142.156
49,60214.773,61047.88
50,60130.04,61025.992
51,60043.89,60931.168
52,59961.66,60875.555
53,59938.863,60834.12
54,59831.598,60808.676
55,59741.895,60711.402
56,59672.727,60644.57
57,59599.15,60589.74
58,59551.543,60532.71
59,59507.3,60575.64
60,59451.355,60416.77
61,59344.164,60379.016
62,59288.2,60333.67
63,59224.27,60283.25
64,59185.848,60208.48
65,59124.99,60237.824
66,59078.344,60198.96
67,59022.18,60139.53
68,58969.75,60099.77
69,58916.137,60062.016
70,58862.766,60012.863
71,58844.805,59979.03
72,58763.426,59914.242
73,58732.133,59921.06
74,58692.277,59877.46
75,58626.81,59801.973
76,58604.98,59818.246
77,58565.402,59790.285
78,58533.36,59697.785
79,58460.027,59662.94
80,58456.74,59661.082
81,58375.906,59625.49
82,58351.535,59625.4
83,58302.387,59565.312
84,58299.164,59590.785
85,58227.21,59480.88
86,58203.57,59481.816
87,58187.793,59417.945
88,58121.27,59436.14
89,58089.66,59402.016
90,58057.293,59401.844
91,58049.273,59386.312
92,57987.293,59329.1
93,57960.22,59251.695
94,57924.223,59285.4
95,57915.47,59231.04
96,57862.707,59170.6
97,57830.3,59179.87
98,57790.727,59168.316
99,57762.938,59120.09
