,train,eval
0,102359.984,101351.14
1,84964.734,84388.91
2,74416.26,74046.26
3,71625.0,71239.125
4,70293.59,69926.984
5,69314.28,68943.42
6,68490.805,68151.29
7,67831.14,67535.88
8,67281.11,66951.125
9,66810.69,66526.164
10,66395.086,66125.58
11,66038.17,65775.33
12,65709.71,65488.812
13,65408.094,65201.145
14,65088.555,64933.715
15,64822.652,64701.492
16,64542.754,64470.586
17,64311.76,64261.184
18,64050.473,64026.242
19,63832.332,63839.254
20,63588.89,63648.473
21,63377.473,63498.934
22,63169.875,63305.23
23,62971.723,63155.055
24,62781.125,62994.723
25,62612.97,62892.72
26,62431.24,62746.805
27,62260.664,62579.098
28,62134.28,62527.594
29,62012.883,62444.89
30,61792.973,62205.71
31,61644.11,62101.992
32,61503.05,62008.57
33,61380.137,61931.156
34,61231.07,61782.582
35,61122.125,61670.344
36,60990.543,61648.92
37,60854.47,61485.523
38,60737.766,61410.81
39,60636.06,61344.332
40,60506.707,61214.086
41,60407.96,61170.156
42,60287.63,61054.832
43,60186.96,60958.973
44,60105.34,60949.9
45,59988.066,60816.832
46,59897.523,60758.58
47,59835.734,60762.945
48,59724.195,60626.984
49,59689.16,60660.555
50,59562.824,60520.863
51,59480.547,60464.89
52,59407.77,60400.402
53,59327.94,60314.64
54,59257.742,60296.215
55,59211.516,60204.332
56,59115.13,60184.727
57,59080.277,60171.047
58,59014.234,60079.465
59,58932.918,60011.637
60,58871.926,59983.23
61,58803.793,59945.445
62,58764.914,59879.6
63,58684.402,59847.234
64,58632.305,59825.24
65,58574.582,59769.707
66,58543.52,59788.8
67,58471.15,59680.91
68,58423.984,59700.32
69,58382.62,59638.316
70,58319.84,59577.094
71,58271.156,59571.78
72,58320.24,59513.73
73,58153.453,59454.28
74,58174.215,59412.746
75,58083.06,59430.867
76,58097.848,59459.12
77,57970.02,59300.92
78,57983.3,59272.55
79,57901.004,59238.254
80,57842.555,59214.605
81,57796.84,59193.484
82,57755.656,59147.0
83,57706.652,59105.715
84,57695.72,59112.07
85,57631.387,59076.61
86,57605.617,58994.48
87,57578.57,59054.965
88,57528.14,59035.523
89,57471.5,58948.867
90,57445.098,58929.324
91,57398.734,58912.62
92,57376.254,58839.438
93,57384.375,58932.383
94,57293.223,58821.992
95,57270.85,58777.113
96,57230.496,58826.125
97,57173.438,58725.477
98,57141.176,58700.22
99,57110.207,58663.215
