,train,eval
0,69041.414,68368.96
1,64802.465,64495.32
2,62827.047,63034.402
3,61376.01,61818.4
4,60692.96,61466.027
5,59880.207,60635.79
6,59328.234,60154.21
7,58930.277,59833.652
8,58614.58,59663.59
9,58245.94,59206.43
10,58004.574,59049.336
11,57701.617,58976.176
12,57591.887,59035.375
13,57299.426,58701.625
14,57172.754,58511.777
15,56770.418,58220.664
16,57034.156,58529.84
17,56495.438,57955.902
18,56504.523,58252.043
19,56357.14,58136.066
20,55857.324,57521.984
21,56372.75,57886.97
22,55615.39,57441.723
23,55723.254,57289.992
24,55539.914,57296.863
25,55492.668,57198.355
26,55106.863,56783.492
27,55421.76,57057.88
28,55946.14,57845.06
29,54698.02,56588.227
30,54568.375,56634.184
31,54489.08,56572.383
32,54512.426,56485.4
33,54179.824,56301.05
34,53958.137,56085.277
35,54013.664,56159.27
36,54374.07,56200.938
37,53779.715,56102.402
38,54250.535,56382.637
39,53431.117,55482.63
40,53340.082,55567.992
41,53315.363,55652.383
42,53075.65,55428.914
43,52796.395,55081.12
44,52902.742,55121.066
45,52790.47,55181.562
46,52687.29,55154.504
47,52790.27,55312.996
48,52707.89,55002.496
49,52734.785,54990.453
50,52288.953,54798.15
51,52451.91,55112.816
52,52309.973,54787.11
53,52017.016,54522.74
54,52301.11,54985.67
55,52143.39,54571.082
56,51645.977,54259.582
57,52605.062,54826.387
58,51773.73,54210.145
59,51558.844,54179.727
60,51732.734,54241.01
61,51662.875,54276.574
62,51307.46,53920.46
63,51208.293,53912.71
64,51017.742,53862.766
65,51124.64,53958.727
66,51284.477,53998.176
67,51545.277,54258.875
68,50906.18,53521.016
69,50970.64,53483.758
70,50969.26,53673.168
71,50773.168,53565.32
72,51269.38,53793.67
73,51586.164,54105.562
74,50583.46,53233.66
75,51198.742,53905.574
76,51165.633,53885.832
77,50357.97,52953.867
78,50434.684,52971.59
79,50399.074,53031.215
80,51708.84,54193.453
81,50366.027,53258.137
82,50072.95,52872.47
83,50135.79,53040.324
84,50087.81,52893.566
85,50033.387,52941.887
86,50196.113,53054.87
87,50872.535,53626.62
88,49890.37,52627.87
89,50154.28,53144.062
90,49662.04,52565.098
91,51374.875,54347.652
92,50223.176,53257.805
93,49950.88,52929.164
94,49975.82,52900.418
95,49795.24,52694.652
96,49724.297,52608.344
97,49367.766,52468.473
98,49497.434,52310.312
99,50139.58,53098.754
