,train,eval
0,62019.18,63000.04
1,58289.68,59536.723
2,58811.336,60346.895
3,58240.734,59940.695
4,55594.12,57723.688
5,55551.1,57592.86
6,54683.82,56549.53
7,54621.355,56537.42
8,61087.688,62841.43
9,53330.91,55178.723
10,53432.496,55656.7
11,53235.75,55446.465
12,52902.492,54811.1
13,53693.996,55327.67
14,52119.895,54265.68
15,52667.496,54874.0
16,52844.867,54860.9
17,51887.793,54637.008
18,52108.285,54618.75
19,53841.777,56013.688
20,52876.97,55487.723
21,50866.83,53632.953
22,51547.777,54263.145
23,50514.34,53402.652
24,50018.33,52647.773
25,50697.85,53306.21
26,50595.637,53203.676
27,50374.344,53137.64
28,50242.027,53291.133
29,53043.62,55336.3
30,51488.996,54086.89
31,51626.004,53836.555
32,50406.883,53462.35
33,50320.973,53383.523
34,48983.156,52061.23
35,50643.5,53657.117
36,49415.39,52607.766
37,50512.582,53999.61
38,50494.35,53524.85
39,50493.63,54097.703
40,48621.414,52065.25
41,49156.754,52852.758
42,49064.53,52777.52
43,50575.51,53808.582
44,49864.582,53608.78
45,48968.105,52381.016
46,48679.812,52633.24
47,49539.387,52919.54
48,49310.89,52709.098
49,47568.113,51470.312
50,48804.83,52536.98
51,48661.652,52500.61
52,47711.258,51712.99
53,48288.508,52473.734
54,47989.125,52013.83
55,48892.05,53172.156
56,47729.35,51689.402
57,46886.48,51042.594
58,48222.395,52862.902
59,47817.438,51672.05
60,47386.586,51730.24
61,48197.29,52519.098
62,47667.21,51925.312
63,46862.64,51420.746
64,46909.547,51525.58
65,48583.945,53184.293
66,46565.93,50968.434
67,46618.18,51303.066
68,46612.242,51319.887
69,47367.527,51760.727
70,48389.652,53027.684
71,46989.785,52012.617
72,47138.33,51753.793
73,47420.49,52039.598
74,48804.453,52950.527
75,47020.348,51424.09
76,46560.605,51393.062
77,45659.543,50794.04
78,46522.227,51129.19
79,46133.504,51171.926
80,47337.113,52237.965
81,45867.574,51130.867
82,46715.26,51652.37
83,46646.953,52339.34
84,46419.12,51662.02
85,46603.973,52138.32
86,45649.62,51367.85
87,47027.61,52461.125
88,46533.645,52089.035
89,46745.11,52610.066
90,46474.17,52914.434
91,48691.406,53647.22
92,47122.227,52817.004
93,45942.547,52067.402
94,45664.273,51663.348
95,46388.645,52163.684
96,48259.133,53526.07
97,45168.27,51011.77
98,45170.402,51367.242
99,45089.07,50421.82
