,train,eval
0,77702.336,76736.67
1,68431.85,67989.93
2,65515.867,65256.258
3,64583.19,64463.61
4,63863.29,63789.96
5,63335.895,63297.64
6,62827.562,63076.03
7,62747.688,62723.58
8,61986.656,62195.65
9,61657.83,61967.465
10,61491.26,61620.875
11,61342.062,61842.055
12,60971.38,61232.445
13,60680.05,61079.887
14,60573.785,61200.88
15,60352.574,60830.68
16,60214.89,60741.996
17,60096.89,60702.42
18,60228.793,60816.285
19,60086.277,60811.566
20,59999.82,60887.938
21,59886.406,60448.457
22,59871.176,60493.29
23,60183.46,61072.96
24,59424.918,60175.418
25,59361.4,60112.67
26,59881.766,60851.387
27,59451.88,60392.906
28,59248.6,60210.832
29,59353.137,60206.28
30,59303.188,60219.51
31,59007.676,59823.76
32,59130.25,60157.19
33,59087.99,59920.207
34,58878.656,59829.508
35,59079.96,60132.39
36,58790.168,59714.93
37,58932.715,59933.266
38,58799.234,59704.664
39,59075.555,60053.79
40,59347.707,60237.074
41,58871.137,59891.902
42,59489.54,60482.906
43,58746.277,59647.83
44,58814.777,59767.81
45,58830.562,59747.992
46,59280.973,60052.848
47,58670.85,59489.293
48,58911.184,59698.47
49,58711.32,59835.63
50,58970.703,59779.215
51,58471.305,59454.164
52,58732.3,59660.285
53,58576.12,59586.246
54,58962.297,59854.06
55,58789.4,59729.855
56,58630.805,59486.824
57,58654.523,59583.727
58,58642.195,59627.086
59,58523.523,59489.36
60,58379.383,59272.43
61,58696.715,59601.016
62,58358.7,59252.92
63,58436.254,59427.684
64,58343.94,59344.234
65,58432.348,59468.32
66,59026.297,60025.383
67,58411.26,59339.137
68,58627.715,59594.637
69,58358.582,59303.9
70,58412.246,59403.777
71,58611.41,59502.7
72,58235.035,59174.227
73,58422.117,59269.5
74,58432.54,59150.266
75,58400.766,59290.492
76,58387.26,59325.574
77,58729.953,59791.066
78,58216.902,59174.72
79,58275.3,59065.086
80,58403.215,59433.07
81,58191.4,59040.008
82,58037.83,58916.113
83,57995.555,58884.246
84,58536.402,59522.953
85,58265.473,59177.63
86,58296.652,59094.504
87,58056.07,58870.293
88,58126.16,59123.484
89,57966.508,58908.105
90,57887.004,58722.484
91,57873.098,58912.03
92,57927.742,58831.06
93,57827.184,58772.51
94,57930.777,58943.453
95,58228.582,59234.848
96,57836.645,58844.258
97,57949.82,58879.605
98,57787.594,58714.1
99,58049.41,59100.508
