,train,eval
0,63343.598,64394.758
1,58680.46,59877.07
2,57715.508,59195.82
3,57877.586,59687.203
4,56987.105,58809.39
5,56304.863,58629.895
6,58917.703,60610.836
7,55601.793,57594.8
8,55671.934,57712.332
9,55709.633,57688.273
10,54419.71,56621.164
11,57523.758,60488.477
12,55130.273,57047.305
13,53965.883,55990.223
14,55280.637,57504.71
15,56842.246,59027.832
16,53955.406,56010.2
17,56204.867,58461.96
18,54684.83,56908.074
19,54239.28,56639.68
20,54758.402,56578.418
21,52936.285,55699.62
22,53573.71,55500.51
23,53341.4,55705.098
24,52624.75,54904.203
25,53938.324,55736.0
26,53401.28,55734.637
27,54250.26,56277.78
28,52278.914,54897.2
29,52227.71,54412.098
30,52577.43,54910.45
31,51831.527,54175.777
32,52789.637,55346.227
33,52385.254,55077.086
34,53403.04,56253.348
35,52406.953,54298.023
36,51392.312,53635.04
37,52031.684,54851.19
38,52298.125,54644.92
39,50725.516,53249.934
40,51674.008,54303.234
41,51206.95,53029.707
42,50924.74,53431.47
43,51808.676,54529.566
44,50852.74,53322.01
45,52744.434,55354.324
46,51317.688,53969.785
47,51929.883,53983.062
48,53506.92,55815.215
49,50713.98,53151.72
50,50608.31,53716.105
51,50264.414,52785.48
52,51008.25,53074.973
53,50631.203,53547.305
54,50963.914,53439.594
55,52591.18,55118.324
56,50905.684,53623.395
57,50588.605,53356.266
58,51055.496,53513.32
59,50176.32,52892.766
60,50225.918,52670.617
61,50071.723,53071.117
62,50333.45,53158.504
63,50208.707,53225.195
64,51017.637,54185.3
65,51726.15,54367.35
66,50434.05,53190.754
67,51453.973,53890.008
68,51479.426,54042.65
69,49920.137,52741.35
70,50847.89,53528.656
71,50167.24,52921.69
72,51438.676,54111.094
73,49618.64,52361.617
74,49182.758,51862.52
75,50194.934,52996.16
76,50358.793,53560.188
77,51212.582,53942.184
78,50384.83,52978.836
79,50096.6,53278.7
80,49478.965,52253.723
81,51373.508,53969.598
82,50561.16,53707.137
83,49998.812,52795.094
84,49760.35,52779.195
85,49864.973,52443.637
86,49635.973,52486.105
87,50860.27,54199.297
88,50828.93,53862.098
89,50356.95,53337.19
90,48979.504,51947.227
91,50933.996,53626.773
92,50426.777,53512.83
93,49303.812,52463.535
94,49878.285,53212.766
95,51105.387,54238.46
96,49707.363,52748.11
97,50921.816,54024.188
98,49447.184,52465.945
99,51701.625,54300.83
