,train,eval
0,69833.07,69274.46
1,64817.086,64743.45
2,63179.41,63498.168
3,61965.457,62423.25
4,61062.27,61763.65
5,60351.055,61175.93
6,59946.06,60766.09
7,59277.027,60159.32
8,59101.32,60149.77
9,58586.18,59732.004
10,59142.984,60555.723
11,58078.363,59302.113
12,57932.77,59196.71
13,57859.402,58907.46
14,57742.617,59031.65
15,57961.242,59213.76
16,56834.62,58171.05
17,57227.387,58382.41
18,56491.207,57838.824
19,56703.695,57930.387
20,56637.32,57975.84
21,56104.797,57525.17
22,56573.895,57797.184
23,55622.887,57080.56
24,55998.668,57283.45
25,55502.566,56870.355
26,55107.203,56622.164
27,54926.043,56390.445
28,55325.99,57004.41
29,56103.715,57406.75
30,54993.883,56274.13
31,54484.832,55727.906
32,54070.105,55583.13
33,54543.41,56027.727
34,55089.344,56529.12
35,54637.445,56284.996
36,54177.566,55531.977
37,53479.34,55078.29
38,53718.465,55245.992
39,53559.996,55426.754
40,53911.234,55251.723
41,53550.43,55202.87
42,53516.223,55079.87
43,53030.996,54614.844
44,53427.61,54861.785
45,52800.75,54338.797
46,53596.746,55080.56
47,53132.21,54729.54
48,52515.27,54245.46
49,53010.02,54732.97
50,52853.203,54682.94
51,52271.863,54156.98
52,53317.285,55130.29
53,52213.94,53872.16
54,52353.855,54060.043
55,52763.176,54191.832
56,52080.77,53869.957
57,52334.598,54289.45
58,52279.28,54154.58
59,52243.992,54370.07
60,51966.703,53967.23
61,51863.4,53684.477
62,52948.14,54555.203
63,53809.81,55357.164
64,52063.582,54041.035
65,52517.086,54188.26
66,52745.035,54747.508
67,51553.91,53430.96
68,51753.62,53709.875
69,52128.402,54150.266
70,51666.09,53660.9
71,51495.066,53576.37
72,52590.145,54228.81
73,51329.85,53371.133
74,51482.914,53431.297
75,52759.52,54734.71
76,51652.2,53755.008
77,51608.816,53558.547
78,51482.113,53660.93
79,51463.816,53472.71
80,51097.48,53169.867
81,51292.293,53497.023
82,51351.055,53205.848
83,51185.473,53262.93
84,51355.688,53418.457
85,52236.418,54158.496
86,51234.66,53453.07
87,51800.324,54102.008
88,51374.016,53438.027
89,51600.027,53276.74
90,51606.523,53740.53
91,50895.656,52984.348
92,51102.957,53267.086
93,51102.258,53210.473
94,51257.24,53461.133
95,50939.82,52931.445
96,51525.492,53567.418
97,51664.727,54102.688
98,51118.86,53293.586
99,50976.242,52920.3
