,train,eval
0,68097.27,67285.7
1,64727.938,64665.26
2,63736.527,63985.008
3,63001.637,63413.73
4,62362.176,62871.49
5,61970.13,62665.055
6,61311.855,61921.324
7,61084.094,62095.125
8,61035.766,62016.46
9,60057.38,61082.64
10,60058.38,61101.05
11,59750.02,60939.977
12,59308.133,60578.875
13,59207.586,60722.62
14,58913.45,60381.535
15,58927.652,60443.508
16,58703.227,60257.227
17,58622.293,60142.53
18,58558.145,60067.414
19,58548.74,60049.83
20,58420.45,59856.715
21,58297.21,59765.668
22,58560.82,59881.72
23,58395.047,59665.92
24,58185.12,59442.465
25,57983.03,59307.3
26,57794.723,59258.89
27,57731.305,59222.75
28,57688.938,59133.43
29,57858.88,59220.652
30,58007.805,59218.5
31,57780.496,59453.523
32,57653.363,59180.625
33,57264.27,58675.754
34,57141.234,58536.06
35,57386.918,58672.234
36,57175.95,58624.023
37,57165.754,58621.496
38,56926.023,58192.953
39,56993.473,58547.11
40,56905.273,58430.82
41,56580.156,58111.324
42,56484.938,57907.58
43,56715.29,58320.453
44,56388.723,57904.117
45,56448.574,57947.113
46,56338.562,58069.51
47,56151.137,57722.945
48,56773.207,58460.117
49,56185.293,57799.35
50,55991.56,57632.64
51,56580.715,58320.195
52,56275.547,57985.836
53,56095.113,57822.61
54,55925.227,57570.95
55,56542.72,57849.973
56,55726.8,57341.27
57,55802.027,57297.92
58,55694.586,57410.76
59,55955.29,57700.363
60,55597.36,57108.53
61,55619.688,57160.95
62,55831.086,57402.906
63,55334.33,57063.69
64,55356.984,56994.387
65,55688.516,57365.062
66,55964.18,57590.742
67,55345.207,57122.355
68,55976.6,57603.676
69,55071.984,56781.867
70,55153.42,56790.035
71,55098.004,56690.625
72,55122.285,56939.79
73,55095.44,56944.36
74,55039.86,56769.035
75,55003.426,56696.33
76,54984.156,56873.02
77,55234.406,56826.754
78,54882.16,56700.94
79,55238.777,56838.01
80,54895.62,56658.453
81,54915.516,56694.777
82,54911.75,56621.188
83,54904.793,56794.41
84,54874.074,56802.81
85,54939.152,56794.246
86,54958.508,56704.98
87,55277.45,56820.832
88,54564.61,56273.418
89,54525.918,56221.75
90,55426.434,57122.86
91,54639.285,56622.77
92,55019.48,56715.645
93,55166.082,56853.83
94,54420.457,56277.992
95,54391.54,56108.04
96,54541.137,56021.01
97,54394.45,56226.61
98,54153.605,56036.33
99,54446.02,55896.22
