,train,eval
0,60600.2,61023.305
1,58373.28,59704.945
2,57749.105,59358.47
3,56291.496,57793.73
4,56538.312,58167.24
5,55092.457,57296.168
6,54630.438,57078.336
7,54022.527,55551.457
8,53383.945,54980.246
9,52858.074,55167.523
10,54072.96,56080.535
11,52177.965,54593.824
12,51916.133,54701.793
13,51137.07,53619.625
14,50891.09,53596.355
15,50840.812,53794.867
16,51305.48,54157.24
17,50433.664,53273.37
18,50652.402,54030.285
19,49655.25,52838.516
20,49718.184,53160.164
21,50253.098,53299.066
22,51621.55,54943.383
23,49640.746,53186.332
24,48776.613,52408.516
25,48820.297,52389.94
26,48459.938,52236.965
27,48435.484,51757.758
28,49013.89,52744.434
29,52635.17,55989.625
30,48474.39,52420.203
31,49325.605,53189.703
32,48925.035,52915.53
33,48472.117,52596.93
34,47821.785,51884.004
35,48628.805,53127.016
36,47742.035,52314.613
37,48984.25,53513.336
38,46983.24,51135.195
39,46970.945,51488.367
40,47526.367,51966.74
41,47447.48,52471.4
42,48379.19,53478.105
43,47983.81,52624.656
44,47182.914,51870.094
45,46581.137,51214.91
46,46927.562,51997.945
47,47517.312,52724.133
48,46564.773,51671.984
49,45921.504,51455.438
50,45598.863,51299.336
51,45967.586,51755.414
52,46540.875,52128.867
53,46447.56,52281.523
54,46310.77,51342.645
55,46104.758,51795.727
56,45228.848,51382.836
57,45503.668,51717.21
58,46877.797,52722.723
59,46148.645,52082.188
60,48212.82,53939.04
61,45349.3,51210.043
62,45119.266,51148.84
63,45081.066,51825.66
64,45759.434,52195.074
65,45198.562,51626.41
66,44188.31,50778.75
67,44483.477,50797.676
68,45577.168,52320.496
69,45192.074,52106.465
70,48504.06,54964.906
71,43824.86,51096.527
72,44856.453,52113.652
73,45886.348,52211.504
74,44221.047,50907.785
75,44566.25,51453.97
76,43887.203,51451.08
77,44507.613,52182.08
78,44831.96,52321.906
79,44129.543,51292.707
80,44556.785,51780.2
81,44123.594,50957.406
82,46977.367,54904.56
83,44653.535,52644.527
84,44487.062,52111.99
85,44204.473,51967.625
86,43468.99,51097.402
87,44410.777,52234.285
88,43045.688,51568.234
89,43009.0,51075.71
90,43441.06,51223.656
91,43277.95,51727.76
92,43783.15,52359.5
93,43461.84,51995.48
94,43160.957,52026.68
95,42429.86,51268.094
96,43013.805,51249.1
97,43039.41,52096.96
98,44142.1,52835.59
99,42380.0,51052.875
