,train,eval
0,114015.15,112794.49
1,112542.48,111331.914
2,110092.07,108915.086
3,105055.266,103949.23
4,94808.35,93895.87
5,80592.02,79976.76
6,72998.87,72495.695
7,70375.32,69938.93
8,68826.29,68457.84
9,67725.414,67452.55
10,66943.82,66713.35
11,66358.02,66190.5
12,65891.44,65751.695
13,65476.3,65391.95
14,65133.836,65101.113
15,64806.848,64759.492
16,64507.72,64481.668
17,64199.305,64252.887
18,63921.055,64002.96
19,63689.914,63828.355
20,63419.41,63561.73
21,63184.633,63385.23
22,62976.684,63185.05
23,62775.914,62993.734
24,62571.406,62843.32
25,62400.418,62679.39
26,62208.36,62500.86
27,62037.32,62371.758
28,61895.027,62311.332
29,61761.324,62205.332
30,61580.49,62013.227
31,61442.867,61897.285
32,61335.465,61800.395
33,61197.91,61740.08
34,61079.42,61618.08
35,60968.438,61545.53
36,60881.668,61524.902
37,60778.91,61382.906
38,60672.86,61340.83
39,60571.38,61238.273
40,60482.41,61146.74
41,60394.168,61102.14
42,60341.527,61028.83
43,60277.895,60950.38
44,60160.527,60896.25
45,60093.453,60858.98
46,60039.344,60850.945
47,59942.73,60732.637
48,59879.598,60678.48
49,59824.973,60600.113
50,59765.758,60569.3
51,59711.0,60504.89
52,59635.566,60443.516
53,59636.72,60526.28
54,59532.79,60370.02
55,59481.56,60338.17
56,59421.836,60262.918
57,59371.46,60207.344
58,59317.812,60185.305
59,59274.68,60173.848
60,59218.086,60103.293
61,59184.035,60123.01
62,59136.45,60034.805
63,59089.875,60034.637
64,59064.316,59972.34
65,59023.504,59977.27
66,58990.594,59971.938
67,58943.09,59913.992
68,58953.082,59950.758
69,58867.207,59842.89
70,58838.586,59776.008
71,58804.387,59741.81
72,58776.19,59806.984
73,58727.223,59708.32
74,58703.6,59716.027
75,58682.93,59733.773
76,58638.81,59650.543
77,58629.324,59701.125
78,58549.996,59582.46
79,58525.99,59563.707
80,58495.844,59510.44
81,58463.434,59511.598
82,58434.15,59508.137
83,58410.613,59438.473
84,58383.938,59416.73
85,58340.227,59395.617
86,58335.723,59401.31
87,58311.39,59362.49
88,58286.547,59322.434
89,58266.363,59407.72
90,58230.027,59343.816
91,58200.07,59299.156
92,58180.035,59321.727
93,58148.734,59253.504
94,58136.23,59290.625
95,58127.7,59204.684
96,58089.2,59251.367
97,58056.938,59211.67
98,58031.473,59187.47
99,58011.53,59173.344
