,train,eval
0,60839.418,62095.445
1,58093.95,59234.996
2,58295.812,59656.586
3,57063.176,58728.438
4,55877.785,57726.184
5,54288.766,56096.88
6,53503.79,55500.125
7,53729.434,55645.47
8,53360.195,55783.465
9,53380.26,55278.914
10,53082.0,54939.656
11,53440.332,55647.355
12,54587.027,56915.582
13,51555.273,53944.58
14,51660.47,54175.965
15,51408.496,53401.438
16,54829.707,56652.234
17,51080.09,53649.562
18,51788.465,53780.496
19,51986.234,54526.887
20,50151.105,52847.59
21,50440.652,52970.098
22,50844.465,53607.742
23,49950.336,52412.793
24,50971.723,54210.184
25,49635.793,52330.17
26,48998.92,52101.094
27,49789.68,52869.05
28,48455.055,51828.363
29,48962.582,52481.15
30,51859.15,55216.598
31,49072.504,52903.816
32,49149.19,53131.44
33,48309.363,51812.66
34,48383.723,52378.145
35,48954.484,52728.305
36,48044.703,52102.094
37,48125.867,52023.496
38,47744.832,51555.664
39,48490.91,52976.105
40,47358.555,51652.113
41,49421.566,54014.934
42,47711.21,52041.82
43,49321.668,53823.668
44,46963.56,51817.35
45,48268.51,53261.504
46,47485.22,52543.676
47,47324.59,52480.81
48,48250.113,53094.41
49,47085.3,52019.605
50,48373.168,52624.2
51,46697.32,51618.293
52,48340.598,53164.15
53,46611.004,51580.17
54,46326.133,51877.984
55,48803.047,54253.176
56,46047.246,51770.992
57,47335.605,52829.29
58,46734.96,52505.254
59,48833.867,53964.0
60,46683.934,52307.83
61,46193.97,51854.695
62,48313.137,53794.883
63,45967.8,52153.316
64,46484.68,52485.344
65,45597.027,51509.016
66,45743.19,52022.875
67,46363.61,52364.21
68,45448.87,51286.395
69,46132.52,53082.125
70,46082.508,52127.574
71,45997.52,51805.918
72,47027.074,53764.223
73,45969.254,51752.844
74,45281.258,51705.86
75,46480.023,53139.53
76,45822.574,53993.496
77,44976.297,51423.22
78,45134.137,52641.883
79,45262.91,51570.617
80,44849.684,51240.66
81,45594.062,53429.992
82,45176.938,52704.016
83,45650.01,52324.598
84,44694.094,52218.055
85,44602.79,52422.36
86,44337.56,52235.254
87,45253.895,52104.637
88,44727.66,52216.754
89,44385.242,51449.965
90,44194.348,51760.83
91,44821.766,52291.773
92,43918.953,51612.348
93,44589.12,52097.883
94,43999.445,51828.914
95,45073.504,51904.207
96,45498.824,53346.418
97,43617.98,52609.85
98,44261.027,52632.855
99,43929.516,52054.387
