,train,eval
0,67206.04,67029.48
1,63566.57,63770.254
2,62089.484,62604.465
3,60552.48,61296.5
4,60016.992,60847.79
5,59021.324,60188.09
6,58815.426,60197.91
7,58110.926,59489.035
8,58498.336,59597.92
9,57459.19,58791.906
10,57268.22,58655.523
11,56796.63,58228.09
12,56862.418,58451.69
13,56532.043,58155.26
14,57252.887,58703.99
15,55887.195,57547.133
16,55902.363,57512.41
17,56123.69,57927.176
18,56053.89,57621.18
19,55656.414,57192.3
20,55301.62,56806.285
21,54812.96,56587.86
22,54856.52,56411.49
23,54484.44,56476.79
24,54568.707,56479.09
25,54100.867,55964.36
26,54163.62,55955.723
27,54751.203,56511.64
28,54065.145,56297.938
29,53897.52,56026.89
30,53658.39,55593.414
31,53300.516,55296.676
32,53402.652,55635.242
33,53512.56,55443.33
34,52768.957,55028.188
35,52310.062,54530.402
36,54343.0,56455.832
37,54192.008,56504.05
38,52324.473,54990.645
39,52025.418,54452.78
40,52660.406,54998.62
41,52424.36,54870.766
42,53244.887,55728.7
43,52512.723,54838.926
44,51729.887,54239.75
45,51247.26,53930.3
46,51908.05,54639.246
47,51460.465,54073.684
48,52632.574,55172.402
49,51180.066,54006.844
50,51442.668,54395.14
51,50762.12,53645.08
52,50926.74,53784.47
53,51678.8,54424.598
54,50814.465,53564.01
55,50658.906,53431.004
56,50738.24,53794.39
57,51006.645,53877.723
58,51013.36,53691.16
59,50925.42,53922.81
60,50467.742,53272.344
61,50949.734,54068.52
62,50505.01,53613.895
63,51315.598,54097.22
64,51183.15,54434.45
65,51321.297,54566.625
66,50026.184,53447.11
67,49657.47,52978.37
68,51634.31,54721.01
69,49911.082,53337.945
70,51046.863,54409.277
71,50171.13,53623.92
72,49679.688,53220.508
73,50468.64,53982.35
74,49406.895,53053.492
75,49406.895,52930.004
76,50382.324,53772.824
77,49951.09,53386.863
78,49694.17,53262.613
79,53505.934,56810.844
80,49513.105,53197.637
81,51214.51,54695.477
82,49280.957,53111.42
83,49677.297,53175.77
84,49302.19,53319.527
85,48886.75,52553.332
86,48743.832,52464.152
87,48893.65,52674.684
88,49664.508,53292.453
89,48842.105,52811.402
90,49313.77,53408.582
91,48556.844,52647.848
92,48838.977,52971.04
93,48841.395,53053.055
94,48633.51,52932.11
95,48794.477,52855.742
96,48906.57,52761.31
97,48739.89,52849.793
98,48612.03,52775.188
99,48123.74,52452.55
