,train,eval
0,115709.37,114497.06
1,115691.79,114480.86
2,115675.055,114465.39
3,115658.95,114450.445
4,115643.36,114435.92
5,115628.05,114421.625
6,115612.94,114407.45
7,115598.13,114393.39
8,115583.25,114379.26
9,115568.29,114365.02
10,115553.2,114350.64
11,115537.95,114336.05
12,115522.36,114321.14
13,115506.414,114305.87
14,115490.06,114290.1
15,115473.19,114273.85
16,115455.6,114256.93
17,115437.58,114239.52
18,115419.13,114221.75
19,115400.32,114203.53
20,115381.01,114184.85
21,115361.09,114165.56
22,115340.53,114145.68
23,115319.15,114124.95
24,115296.85,114103.27
25,115273.555,114080.77
26,115249.41,114057.305
27,115224.26,114033.016
28,115198.19,114007.73
29,115171.11,113981.4
30,115142.75,113953.89
31,115113.11,113925.13
32,115082.02,113894.92
33,115049.35,113863.18
34,115014.984,113829.84
35,114978.95,113794.84
36,114941.22,113758.08
37,114901.51,113719.375
38,114859.76,113678.74
39,114815.65,113635.8
40,114769.125,113590.414
41,114719.87,113542.36
42,114667.64,113491.305
43,114612.125,113437.1
44,114552.945,113379.3
45,114489.984,113317.79
46,114422.47,113251.92
47,114350.125,113181.16
48,114272.19,113105.06
49,114188.41,113022.984
50,114097.68,112934.164
51,113999.086,112837.56
52,113891.69,112732.49
53,113774.914,112618.086
54,113647.6,112493.24
55,113507.83,112356.17
56,113354.47,112205.71
57,113186.22,112040.67
58,113001.94,111859.99
59,112799.96,111661.984
60,112578.31,111444.664
61,112332.81,111203.8
62,112060.945,110936.83
63,111760.39,110641.54
64,111428.305,110315.35
65,111059.44,109953.09
66,110645.86,109546.95
67,110181.8,109090.875
68,109659.34,108577.375
69,109065.7,107993.91
70,108392.914,107332.8
71,107623.35,106576.68
72,106738.414,105707.42
73,105721.97,104709.16
74,104543.016,103552.34
75,103173.445,102208.82
76,101583.03,100649.81
77,99731.55,98836.414
78,97577.21,96729.15
79,95085.66,94294.4
80,92247.375,91525.77
81,89077.69,88438.33
82,85668.02,85118.68
83,82156.766,81705.26
84,78818.71,78458.51
85,75871.37,75584.9
86,73516.22,73278.61
87,71830.336,71613.4
88,70700.37,70483.79
89,69977.61,69749.42
90,69492.61,69251.42
91,69139.96,68886.586
92,68859.09,68596.5
93,68624.39,68357.69
94,68422.47,68155.76
95,68221.47,67953.82
96,68054.86,67783.23
97,67872.16,67603.54
98,67705.37,67438.85
99,67551.54,67287.95
100,67437.08,67177.29
101,67260.61,67006.555
102,67140.97,66895.48
103,66983.586,66742.84
104,66865.75,66630.164
105,66745.14,66514.26
106,66609.02,66383.82
107,66486.445,66269.33
108,66375.06,66162.83
109,66266.02,66061.914
110,66148.36,65949.555
111,66038.516,65845.31
112,65929.55,65745.91
113,65825.29,65646.88
114,65731.93,65567.18
115,65620.41,65457.47
116,65521.777,65369.527
117,65424.03,65278.625
118,65331.418,65195.85
119,65232.246,65106.996
120,65139.605,65014.98
121,65072.645,64955.17
122,64955.77,64852.934
123,64885.35,64781.305
124,64775.223,64688.93
125,64687.133,64610.92
126,64602.516,64535.56
127,64519.4,64470.414
128,64435.12,64385.992
129,64344.03,64311.66
130,64262.97,64236.504
131,64178.742,64165.418
132,64098.168,64094.945
133,64028.113,64039.535
134,63938.473,63961.637
135,63873.156,63912.805
136,63786.31,63835.008
137,63716.05,63774.164
138,63632.684,63703.453
139,63557.656,63645.78
140,63482.906,63583.258
141,63403.137,63502.477
142,63351.777,63454.06
143,63259.86,63394.18
144,63185.215,63331.64
145,63112.996,63261.305
146,63075.504,63214.47
147,62974.582,63140.816
148,62905.816,63090.48
149,62840.03,63042.58
150,62773.625,62989.445
151,62707.312,62931.85
152,62642.285,62873.523
153,62592.836,62835.73
154,62514.824,62771.258
155,62451.277,62729.61
156,62414.676,62677.06
157,62331.61,62634.96
158,62272.152,62582.133
159,62211.58,62540.137
160,62156.418,62501.73
161,62114.008,62445.855
162,62038.504,62397.723
163,61988.66,62370.457
164,61957.156,62364.348
165,61875.26,62281.105
166,61827.598,62247.805
167,61768.46,62200.19
168,61719.31,62138.43
169,61680.1,62100.81
170,61628.168,62063.574
171,61579.84,62066.223
172,61519.47,62023.625
173,61459.918,61958.367
174,61411.92,61911.746
175,61362.98,61883.848
176,61331.203,61870.79
177,61268.95,61802.08
178,61234.48,61764.727
179,61217.62,61749.63
180,61137.945,61716.516
181,61157.918,61781.664
182,61048.043,61628.97
183,61001.086,61602.285
184,60960.65,61563.6
185,60916.54,61547.184
186,60877.656,61519.074
187,60842.645,61467.54
188,60792.254,61439.336
189,60762.402,61406.71
190,60740.86,61440.66
191,60675.93,61350.156
192,60634.348,61333.16
193,60601.133,61292.418
194,60561.47,61266.32
195,60528.156,61271.273
196,60488.324,61210.145
197,60447.945,61193.12
198,60410.977,61164.508
199,60375.844,61139.234
200,60346.48,61125.938
201,60307.594,61098.25
202,60276.79,61080.33
203,60237.16,61039.332
204,60204.26,60998.125
205,60173.04,60990.8
206,60173.37,61029.08
207,60106.344,60922.42
208,60099.465,60909.36
209,60050.727,60918.31
210,60017.742,60891.12
211,59979.086,60826.48
212,59947.145,60826.816
213,59919.355,60778.52
214,59905.715,60820.582
215,59853.773,60751.37
216,59825.508,60736.51
217,59794.11,60712.105
218,59781.508,60669.87
219,59738.332,60671.34
220,59704.2,60627.043
221,59708.348,60677.76
222,59657.75,60622.445
223,59633.46,60613.13
224,59590.09,60549.81
225,59566.81,60548.777
226,59533.812,60512.805
227,59507.547,60483.18
228,59492.97,60464.473
229,59452.395,60450.81
230,59492.465,60543.97
231,59399.99,60407.21
232,59371.324,60397.117
233,59402.285,60383.504
234,59318.75,60347.098
235,59295.574,60320.035
236,59267.965,60318.902
237,59316.047,60417.312
238,59233.152,60271.598
239,59191.87,60263.387
240,59178.99,60273.824
241,59141.89,60222.85
242,59117.69,60193.43
243,59101.15,60180.03
244,59095.4,60152.465
245,59046.656,60134.016
246,59034.754,60161.09
247,59027.24,60109.35
248,58979.78,60078.016
249,58948.523,60067.715
250,58929.12,60044.47
251,58909.13,60026.906
252,58884.156,60007.996
253,58855.484,59996.79
254,58851.113,60027.56
255,58811.305,59956.586
256,58788.348,59953.83
257,58772.816,59948.223
258,58763.504,59957.08
259,58734.7,59927.91
260,58702.336,59899.79
261,58685.89,59851.35
262,58828.047,60094.707
263,58653.15,59871.69
264,58686.184,59933.676
265,58593.51,59791.39
266,58580.297,59812.406
267,58549.625,59753.816
268,58525.883,59751.35
269,58511.188,59717.996
270,58482.754,59711.52
271,58465.797,59691.633
272,58441.293,59683.855
273,58421.92,59684.344
274,58425.586,59639.066
275,58383.117,59656.7
276,58358.94,59622.41
277,58364.992,59604.72
278,58328.977,59606.41
279,58311.17,59601.973
280,58310.766,59623.15
281,58265.35,59542.992
282,58240.285,59541.61
283,58220.2,59511.77
284,58201.41,59512.85
285,58188.426,59511.637
286,58165.176,59488.316
287,58141.07,59457.19
288,58122.613,59433.566
289,58102.9,59424.75
290,58083.277,59409.375
291,58066.246,59391.043
292,58047.2,59390.742
293,58028.31,59367.574
294,58043.746,59415.88
295,57989.86,59339.71
296,57974.023,59308.29
297,57956.137,59307.734
298,57942.363,59322.227
299,57915.812,59276.33
300,57920.668,59310.637
301,57883.992,59268.305
302,57861.2,59242.24
303,57845.227,59226.703
304,57862.367,59269.15
305,57819.074,59184.176
306,57790.715,59187.445
307,57771.496,59171.42
308,57755.117,59162.777
309,57748.62,59141.95
310,57727.902,59130.82
311,57699.996,59107.17
312,57691.297,59109.656
313,57665.992,59091.49
314,57670.836,59111.9
315,57632.383,59060.285
316,57617.293,59063.414
317,57647.07,59114.316
318,57581.0,59005.062
319,57563.414,58989.996
320,57575.383,59044.816
321,57558.273,58971.867
322,57528.816,58961.883
323,57498.496,58968.016
324,57560.1,58976.72
325,57462.77,58918.164
326,57451.23,58923.14
327,57433.69,58921.42
328,57417.633,58908.605
329,57417.34,58925.13
330,57418.95,58920.676
331,57372.215,58872.098
332,57357.31,58827.574
333,57335.39,58835.71
334,57378.754,58833.43
335,57298.203,58794.51
336,57321.324,58851.168
337,57269.73,58784.523
338,57259.598,58764.12
339,57240.85,58768.84
340,57258.527,58796.855
341,57205.637,58722.984
342,57234.383,58727.617
343,57177.242,58702.02
344,57155.793,58683.707
345,57143.66,58688.555
346,57141.16,58667.664
347,57108.4,58643.406
348,57098.645,58657.906
349,57077.68,58627.996
350,57077.527,58651.867
351,57051.223,58601.26
352,57069.51,58613.957
353,57021.125,58569.4
354,57000.016,58560.383
355,57005.79,58556.902
356,56969.938,58540.97
357,56955.44,58518.84
358,56941.516,58532.406
359,56957.87,58575.56
360,56910.883,58507.258
361,56898.344,58478.957
362,56987.758,58538.957
363,56930.535,58501.625
364,56895.848,58526.21
365,56837.754,58437.14
366,56841.777,58428.797
367,56860.797,58500.355
368,56794.484,58410.395
369,56816.523,58467.055
370,56761.707,58382.12
371,56786.04,58390.242
372,56797.152,58398.914
373,56726.15,58349.957
374,56704.11,58333.375
375,56770.207,58363.28
376,56688.47,58340.87
377,56671.39,58296.684
378,56651.543,58293.152
379,56640.55,58285.727
380,56636.273,58273.363
381,56604.8,58264.316
382,56597.73,58246.875
383,56618.06,58264.176
384,56564.57,58230.6
385,56573.18,58254.395
386,56539.64,58213.82
387,56586.758,58289.13
388,56525.918,58203.246
389,56555.26,58191.61
390,56504.31,58156.973
391,56684.62,58300.79
392,56463.332,58133.87
393,56465.344,58172.29
394,56426.094,58112.883
395,56426.402,58115.625
396,56427.32,58129.387
397,56418.07,58141.668
398,56371.203,58073.9
399,56365.05,58074.9
400,56344.8,58048.867
401,56364.992,58062.906
402,56325.957,58023.64
403,56346.473,58084.812
404,56298.86,58026.297
405,56327.094,58076.973
406,56263.676,57996.1
407,56251.855,57974.883
408,56242.14,57963.83
409,56279.336,58036.008
410,56227.44,57960.266
411,56200.684,57947.21
412,56182.723,57922.242
413,56168.16,57905.473
414,56160.88,57904.297
415,56185.54,57912.305
416,56149.773,57913.586
417,56157.977,57885.26
418,56112.09,57857.812
419,56091.082,57846.793
420,56197.926,57978.582
421,56081.1,57823.344
422,56052.234,57816.527
423,56117.9,57852.47
424,56024.11,57806.258
425,56013.523,57773.047
426,55999.996,57773.105
427,55991.31,57751.07
428,56003.95,57793.44
429,55970.523,57761.2
430,55952.477,57754.02
431,55996.53,57805.36
432,55921.656,57731.64
433,55907.81,57706.73
434,55932.418,57742.246
435,56024.082,57787.715
436,55911.48,57688.547
437,55858.082,57656.94
438,55854.668,57680.145
439,55831.605,57644.93
440,55839.043,57639.293
441,55813.54,57630.63
442,55792.297,57624.13
443,55777.39,57600.043
444,55769.42,57611.17
445,55796.383,57601.605
446,55758.13,57602.57
447,55799.324,57611.293
448,55759.016,57590.203
449,55750.477,57569.32
450,55716.945,57548.32
451,55721.84,57550.113
452,55787.82,57610.926
453,55709.688,57552.273
454,55645.953,57484.812
455,55635.848,57522.023
456,55620.777,57498.855
457,55604.04,57471.684
458,55624.316,57474.066
459,55597.85,57446.97
460,55571.137,57451.414
461,55568.594,57438.92
462,55585.137,57475.312
