,train,eval
0,115728.805,114508.125
1,115695.9,114477.5
2,115667.984,114451.65
3,115644.1,114429.57
4,115622.59,114409.72
5,115603.39,114391.92
6,115585.54,114375.336
7,115568.734,114359.59
8,115552.305,114344.195
9,115536.39,114329.11
10,115520.375,114313.93
11,115504.52,114298.836
12,115488.734,114283.805
13,115472.91,114268.664
14,115456.74,114253.195
15,115440.34,114237.4
16,115423.44,114221.11
17,115406.0,114204.22
18,115387.98,114186.78
19,115369.45,114168.74
20,115350.305,114150.13
21,115330.65,114130.95
22,115310.45,114111.21
23,115289.57,114090.77
24,115267.94,114069.66
25,115245.586,114047.69
26,115222.38,114024.91
27,115198.164,114001.08
28,115172.695,113976.086
29,115145.88,113949.75
30,115117.71,113921.96
31,115088.164,113892.79
32,115057.16,113862.32
33,115024.7,113830.45
34,114990.91,113797.28
35,114955.49,113762.484
36,114918.266,113725.87
37,114879.21,113687.36
38,114838.016,113646.766
39,114794.336,113603.74
40,114747.98,113558.0
41,114698.65,113509.43
42,114646.1,113457.77
43,114590.06,113402.51
44,114529.734,113342.95
45,114464.96,113279.164
46,114395.48,113210.63
47,114321.6,113137.72
48,114243.21,113060.43
49,114160.27,112978.586
50,114072.26,112891.586
51,113978.02,112798.555
52,113876.76,112698.61
53,113767.77,112591.08
54,113650.14,112474.98
55,113522.984,112349.516
56,113384.98,112213.31
57,113235.12,112065.45
58,113071.72,111904.05
59,112893.23,111727.7
60,112697.09,111534.0
61,112481.016,111320.51
62,112243.54,111085.79
63,111980.78,110826.16
64,111689.92,110538.664
65,111365.32,110217.97
66,111002.63,109859.66
67,110593.43,109455.6
68,110130.77,108998.62
69,109603.64,108477.914
70,109001.22,107882.305
71,108309.72,107198.65
72,107517.29,106415.414
73,106606.55,105516.06
74,105558.414,104481.59
75,104346.44,103286.2
76,102941.555,101902.16
77,101307.195,100293.93
78,99398.63,98418.71
79,97184.32,96245.02
80,94638.195,93752.445
81,91774.836,90954.45
82,88641.63,87891.82
83,85346.37,84677.54
84,82120.125,81526.69
85,79215.086,78677.77
86,76838.04,76343.63
87,75054.54,74539.44
88,73782.29,73260.836
89,72901.56,72373.38
90,72275.12,71731.805
91,71765.516,71198.47
92,71341.625,70756.16
93,70977.22,70397.195
94,70632.49,70052.555
95,70313.734,69732.484
96,69988.43,69401.484
97,69696.68,69108.51
98,69420.48,68838.65
99,69156.43,68584.305
100,68911.79,68350.95
101,68670.58,68104.625
102,68465.12,67926.54
103,68212.12,67671.49
104,68008.78,67481.3
105,67809.81,67291.39
106,67598.52,67078.86
107,67428.38,66935.016
108,67222.8,66731.38
109,67063.13,66591.516
