group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
splitOn,,3,,,1314111659.0,ns,1
splitOn,,3,,,1816906842.0,ns,1
splitOn,,3,,,2634255401.0,ns,1
splitOn,,3,,,2225771951.0,ns,1
splitOn,,3,,,1558158089.0,ns,1
splitOn,,3,,,1279915108.0,ns,1
splitOn,,3,,,1286261256.0,ns,1
splitOn,,3,,,1262550718.0,ns,1
splitOn,,3,,,1289152316.0,ns,1
splitOn,,3,,,1260920577.0,ns,1
